机制              核心价值                    主要场景
────────────────────────────────────────────────────────────
CLAUDE.md         项目记忆与上下文持久化        所有场景，始终配置
Sub-Agents        并行执行与上下文隔离          复杂多步骤任务
Skills            领域知识复用与工作流标准化    重复性专业任务
Commands          标准化操作封装                团队约定的固定操作序列
Hooks             事件驱动的安全门控与自动化    质量保证、安全防护
MCP               外部数据源与工具集成          需要实时数据或外部 API
Headless          CI/CD 集成与自动化管道        非交互式自动化场景
Agent SDK         构建自定义智能体应用          产品开发而非工具使用
Plugins           能力的打包与跨团队分发        社区共享、组织推广
